orgnr;komnr;bygg_for_kg;bygg_sakorn_kg;erter_for_kg;erter_sakorn_kg;havre_for_kg;havre_sakorn_kg;hvete_for_kg;hvete_mat_kg;hvete_sakorn_kg;oljefro_kg;oljefro_sakorn_kg;rug_for_kg;rug_mat_kg;rug_sakorn_kg;rughvete_for_kg;rughvete_sakorn_kg
811555762;5028;22194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
811580082;1124;4436;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
811840122;3007;0;0;0;0;0;0;15686;0;0;0;0;0;0;0;0;0
811840122;3305;0;0;0;0;0;0;47773;143859;0;0;0;0;0;0;0;0
811935662;3014;0;0;0;0;0;0;23770;0;0;0;0;0;0;0;0;0
812265962;3016;0;0;0;0;13398;0;0;0;0;0;0;0;0;0;0;0
812265962;3120;0;0;0;0;0;0;45291;0;0;0;0;0;0;0;0;0
812420232;3442;131048;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
812530542;3036;13161;0;0;0;21663;0;0;0;0;0;0;0;0;0;0;0
812686992;3014;0;0;0;0;0;78006;0;0;19173;0;0;0;0;0;0;0
812686992;3006;0;0;0;0;0;0;2274;0;0;0;0;0;0;0;68635;0
812746642;5007;19627;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
812856472;3228;66268;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
812856472;3034;13230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
812862952;3807;0;0;0;0;0;0;0;13860;0;0;0;0;0;0;0;0
812888102;3413;0;259166;0;0;0;0;0;0;0;0;0;0;0;0;0;0
812992112;3207;0;0;0;0;0;0;72351;0;0;0;0;0;0;0;0;0
812992252;3054;63924;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
812994492;3401;145135;0;0;0;39695;0;0;0;0;0;0;0;0;0;0;0
812997092;3446;70476;0;0;0;13532;0;0;0;0;0;0;0;0;0;0;0
812999192;3411;173809;0;28299;0;23112;0;47659;0;0;0;0;0;0;0;0;0
